Apellido,Total
TABOADA,8425
FRAGA,8419
AMOROS,8404
ALEMAN,8400
ABRIL,8398
PEÑALVER,8385
DIEGUEZ,8324
INFANTE,8279
MACHADO,8273
ALMEIDA,8268
YUSTE,8214
GALERA,8208
CANALES,8192
WU,8190
ALVARO,8189
BARROS,8170
MAROTO,8167
CERDA,8156
MANSO,8152
JARAMILLO,8111
MANRIQUE,8103
NOGALES,8089
MOTA,8084
PINILLA,8062
ALBERT,8055
BERENGUER,8051
PERDOMO,8025
LUCENA,8009
ATIENZA,7981
PEDROSA,7977
RIBERA,7947
VILLAVERDE,7941
ECHEVERRIA,7939
MIGUEZ,7934
SAMPEDRO,7926
MEDRANO,7920
DEL OLMO,7907
MIRO,7876
DUEÑAS,7871
VILLENA,7867
VIÑAS,7865
DIEGO,7860
CIFUENTES,7851
TERUEL,7818
MANZANARES,7817
ALMAGRO,7796
RAYA,7791
SEVILLANO,7786
UBEDA,7768
ORTUÑO,7751
ZHOU,7690
ECHEVARRIA,7678
NOVOA,7674
MERCHAN,7669
MORILLAS,7646
MONTAÑO,7641
CHECA,7633
DE LAS HERAS,7630
INIESTA,7625
ROBLEDO,7623
ACEDO,7615
ESPAÑA,7612
FRANCISCO,7592
GIRALDO,7591
QUEVEDO,7579
LUJAN,7574
TRIGO,7562
BOLAÑOS,7559
PUERTO,7557
TALAVERA,7555
ARES,7552
CAPARROS,7538
MONTILLA,7524
IBARRA,7505
ALVES,7489
GRANADO,7488
HERREROS,7487
DE DIEGO,7487
MACIA,7469
MATAS,7445
FRANCES,7436
KAUR,7423
BALAGUER,7412
SEGARRA,7407
HERMIDA,7397
BERNABE,7383
TELLEZ,7378
DE LOS SANTOS,7356
PUERTA,7355
ESPADA,7354
MONZON,7336
ZAMORANO,7332
TORIBIO,7319
CORONADO,7301
PINA,7283
TOME,7265
CUBERO,7245
PERAL,7238
VIVAS,7232
BUENDIA,7222
DIALLO,7220
MAYO,7219
MARIÑO,7214
MOLINERO,7212
TOVAR,7210
MELENDEZ,7199
BARBERA,7191
PRAT,7185
BERNABEU,7183
TORRE,7179
ALI,7172
ARANA,7159
VALDIVIA,7155
ENCINAS,7134
CERVANTES,7127
PALACIO,7123
LAMAS,7098
BADIA,7061
MELIAN,7053
CARRO,7050
ACUÑA,7050
RODENAS,7038
PEIRO,7026
LLORET,7018
SAURA,7017
PARRILLA,6996
SANMARTIN,6988
NARVAEZ,6985
COCA,6983
ESPINOZA,6980
CAÑETE,6975
MARTORELL,6967
COSTAS,6963
HINOJOSA,6958
BOIX,6943
MARISCAL,6928
MAYORAL,6914
FARIÑA,6903
SEPULVEDA,6901
CAMPS,6897
PEDRAZA,6890
PIQUERAS,6863
CARRERO,6850
QUILES,6850
CUELLAR,6829
UREÑA,6828
REVUELTA,6793
FIDALGO,6792
